time,click
2020-09-29 16:24:02.691189,d
2020-09-29 16:24:05.186670,a
2020-09-29 16:24:07.157702,d
2020-09-29 16:24:11.506961,a
2020-09-29 16:24:14.206266,a
2020-09-29 16:24:14.772374,d
2020-09-29 16:24:17.673880,d
2020-09-29 16:24:18.879065,a
2020-09-29 16:24:21.729895,a
2020-09-29 16:24:22.918962,d
2020-09-29 16:24:26.635467,a
2020-09-29 16:24:27.717127,d
2020-09-29 16:24:29.029734,a
2020-09-29 16:24:32.210500,d
2020-09-29 16:24:33.703105,a
2020-09-29 16:24:35.360316,d
2020-09-29 16:24:38.734363,a
2020-09-29 16:24:39.452116,d
2020-09-29 16:24:43.211616,a
2020-09-29 16:24:43.551483,d
2020-09-29 16:24:46.992617,d
2020-09-29 16:24:48.754898,a
2020-09-29 16:24:50.232795,d
2020-09-29 16:24:53.187493,a
2020-09-29 16:24:55.258133,d
2020-09-29 16:25:00.458041,d
2020-09-29 16:25:01.076474,a
2020-09-29 16:25:05.451473,d
2020-09-29 16:25:07.823802,a
2020-09-29 16:25:09.643542,a
2020-09-29 16:25:10.398808,d
2020-09-29 16:25:13.281730,a
2020-09-29 16:25:16.001124,d
2020-09-29 16:25:20.390616,d
2020-09-29 16:25:23.092167,a
2020-09-29 16:25:27.056272,d
2020-09-29 16:25:28.170937,a
2020-09-29 16:25:31.254034,a
2020-09-29 16:25:31.681926,d
2020-09-29 16:25:34.890555,d
2020-09-29 16:25:35.423856,a
2020-09-29 16:25:38.752494,a
2020-09-29 16:25:39.278128,d
2020-09-29 16:25:44.981646,d
2020-09-29 16:25:45.624074,a
2020-09-29 16:25:50.569454,a
2020-09-29 16:25:52.335655,d
2020-09-29 16:25:56.117464,a
2020-09-29 16:25:56.704737,d
2020-09-29 16:25:59.849615,a
2020-09-29 16:26:01.054130,d
2020-09-29 16:26:04.987706,d
2020-09-29 16:26:07.108706,a
2020-09-29 16:26:08.536465,d
2020-09-29 16:26:12.840614,a
