time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-07-23T21:35:25.000Z,56.34817355,37.51935127,146.21337890625,7.504,44.9,8.15,0,gps,,,,,,,,52,
2020-07-23T21:35:26.000Z,56.34830508,37.51943112,145.50482177734375,5.36,20.9,12.16,17,gps,,,,,,,,52,
2020-07-23T21:35:27.000Z,56.34840265,37.5195188,146.70855712890625,4.288,21.9,11.87,15,gps,,,,,,,,52,
2020-07-23T21:35:28.000Z,56.34850278,37.51960748,146.3489990234375,3.216,21.5,11.8,15,gps,,,,,,,,52,
2020-07-23T21:35:29.000Z,56.34860649,37.51968848,147.96990966796875,3.216,21.3,11.57,15,gps,,,,,,,,52,
2020-07-23T21:35:30.000Z,56.34869458,37.51975653,148.50872802734375,3.216,21.2,10.99,15,gps,,,,,,,,52,
2020-07-23T21:35:31.000Z,56.34877467,37.51982296,148.27886962890625,3.216,21.9,10.32,16,gps,,,,,,,,52,
2020-07-23T21:35:32.000Z,56.34885704,37.51989796,148.09844970703125,3.216,20.9,9.84,17,gps,,,,,,,,52,
2020-07-23T21:35:33.000Z,56.34893117,37.51995026,149.46380615234375,3.216,20.7,9.05,17,gps,,,,,,,,52,
2020-07-23T21:35:34.000Z,56.34899112,37.52000364,149.199951171875,3.216,21.5,8.41,16,gps,,,,,,,,52,
2020-07-23T21:35:35.000Z,56.34906172,37.52006217,149.5081787109375,3.216,21.8,7.88,16,gps,,,,,,,,52,
2020-07-23T21:35:36.000Z,56.34913089,37.52011751,149.9327392578125,3.216,20.2,8.34,16,gps,,,,,,,,52,
2020-07-23T21:35:37.000Z,56.34920625,37.52017231,150.40301513671875,3.216,19.6,8.57,16,gps,,,,,,,,52,
2020-07-23T21:35:38.000Z,56.34929936,37.52023305,150.830810546875,3.216,16.6,9.7,16,gps,,,,,,,,52,
2020-07-23T21:35:39.000Z,56.34938395,37.52027695,150.91436767578125,3.216,29.2,9.69,15,gps,,,,,,,,52,
2020-07-23T21:35:40.000Z,56.34947697,37.52033505,150.7591552734375,3.216,17.8,10.39,16,gps,,,,,,,,52,
2020-07-23T21:35:41.000Z,56.34956974,37.52038775,150.8675537109375,3.216,18.3,11.09,17,gps,,,,,,,,52,
2020-07-23T21:35:42.000Z,56.3496633,37.52044652,150.87628173828125,3.216,18.9,11.53,17,gps,,,,,,,,52,
2020-07-23T21:35:43.000Z,56.349764,37.52050785,150.94195556640625,3.216,20.9,12.07,21,gps,,,,,,,,52,
2020-07-23T21:35:44.000Z,56.3498706,37.52057942,150.06573486328125,3.216,20.9,12.45,21,gps,,,,,,,,52,
2020-07-23T21:35:45.000Z,56.34997613,37.52064678,150.56475830078125,3.216,20.3,12.76,21,gps,,,,,,,,52,
2020-07-23T21:35:46.000Z,56.35008313,37.52071799,150.640869140625,3.216,20.5,13.03,21,gps,,,,,,,,52,
2020-07-23T21:35:47.000Z,56.35019651,37.52080169,150.05804443359375,3.216,20.5,13.48,21,gps,,,,,,,,52,
2020-07-23T21:35:48.000Z,56.35031538,37.52088633,150.27667236328125,3.216,20.3,13.96,21,gps,,,,,,,,52,
2020-07-23T21:35:49.000Z,56.35043613,37.52097169,150.3367919921875,3.216,20.9,14.37,23,gps,,,,,,,,52,
2020-07-23T21:35:50.000Z,56.35055962,37.5210621,150.7772216796875,3.216,21.1,14.75,23,gps,,,,,,,,52,
2020-07-23T21:35:51.000Z,56.3506839,37.5211457,150.5794677734375,3.216,20.8,14.57,22,gps,,,,,,,,52,
2020-07-23T21:35:52.000Z,56.35079444,37.5212277,150.3779296875,3.216,21.3,13.47,22,gps,,,,,,,,52,
2020-07-23T21:35:53.000Z,56.35090153,37.52129776,150.72955322265625,3.216,20.7,12.53,22,gps,,,,,,,,52,
2020-07-23T21:35:54.000Z,56.35099524,37.52136622,150.8865966796875,3.216,20.6,11.68,22,gps,,,,,,,,52,
2020-07-23T21:35:55.000Z,56.3510826,37.52142738,150.80438232421875,3.216,20.7,10.49,22,gps,,,,,,,,52,
2020-07-23T21:35:56.000Z,56.35115508,37.52147776,150.416748046875,3.216,19.0,9.06,23,gps,,,,,,,,52,
2020-07-23T21:35:57.000Z,56.35122056,37.52150084,150.1798095703125,3.216,3.1,7.42,23,gps,,,,,,,,52,
2020-07-23T21:35:58.000Z,56.35127974,37.52147725,150.052490234375,3.216,343.1,6.48,22,gps,,,,,,,,52,
