time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-08-09T16:04:38.091Z,56.16113395,37.49593382,195.1729736328125,10.72,82.2,18.7,0,gps,,,,,,,,10,
2020-08-09T16:04:39.000Z,56.16120969,37.49619049,189.2508544921875,3.216,77.1,19.19,9,gps,,,,,,,,10,
2020-08-09T16:04:40.000Z,56.16121822,37.49648837,183.73345947265625,4.288,74.4,19.15,21,gps,,,,,,,,10,
2020-08-09T16:04:41.000Z,56.1612671,37.49677976,183.9691162109375,3.216,72.7,19.18,21,gps,,,,,,,,10,
2020-08-09T16:04:42.000Z,56.16130532,37.49702571,187.3011474609375,3.216,69.2,18.83,19,gps,,,,,,,,10,
2020-08-09T16:04:43.000Z,56.16137388,37.49729156,189.27984619140625,3.216,65.8,19.03,20,gps,,,,,,,,10,
2020-08-09T16:04:44.000Z,56.1614464,37.49757023,189.33746337890625,3.216,64.1,18.92,20,gps,,,,,,,,10,
2020-08-09T16:04:45.000Z,56.1615271,37.49783925,189.34674072265625,3.216,61.2,19.04,19,gps,,,,,,,,10,
2020-08-09T16:04:46.000Z,56.1616157,37.49810889,190.50262451171875,3.216,57.6,19.47,19,gps,,,,,,,,10,
2020-08-09T16:04:47.000Z,56.16170884,37.49836577,191.35931396484375,3.216,55.2,19.63,20,gps,,,,,,,,10,
2020-08-09T16:04:48.000Z,56.16180707,37.49861616,190.02532958984375,3.216,52.8,19.77,19,gps,,,,,,,,10,
2020-08-09T16:04:49.000Z,56.16191794,37.49886805,188.7940673828125,3.216,51.1,20.12,19,gps,,,,,,,,10,
2020-08-09T16:04:50.000Z,56.16204262,37.49910541,190.039794921875,3.216,47.0,20.34,19,gps,,,,,,,,10,
2020-08-09T16:04:51.000Z,56.16217354,37.49933484,190.25225830078125,3.216,43.5,20.47,21,gps,,,,,,,,10,
2020-08-09T16:04:52.000Z,56.16231919,37.49954309,188.7364501953125,3.216,40.5,20.81,20,gps,,,,,,,,10,
2020-08-09T16:04:53.000Z,56.16247712,37.49972899,186.052734375,3.216,35.5,21.18,20,gps,,,,,,,,10,
2020-08-09T16:04:54.000Z,56.16264311,37.49989492,183.55902099609375,3.216,30.9,21.47,21,gps,,,,,,,,10,
2020-08-09T16:04:55.000Z,56.16281372,37.50005368,182.0928955078125,3.216,27.7,21.84,21,gps,,,,,,,,10,
2020-08-09T16:04:56.000Z,56.16299303,37.5002048,180.1468505859375,3.216,25.1,22.32,21,gps,,,,,,,,10,
2020-08-09T16:04:57.000Z,56.1631752,37.50036317,179.05902099609375,3.216,24.8,22.67,22,gps,,,,,,,,10,
2020-08-09T16:04:58.000Z,56.16335676,37.50052447,178.97564697265625,3.216,25.0,22.85,22,gps,,,,,,,,10,
2020-08-09T16:04:59.000Z,56.16353903,37.5006959,180.9027099609375,3.216,26.4,22.91,22,gps,,,,,,,,10,
2020-08-09T16:05:00.000Z,56.16371736,37.50086475,179.5394287109375,3.216,27.8,22.79,24,gps,,,,,,,,10,
2020-08-09T16:05:01.000Z,56.16389492,37.50102932,179.06292724609375,3.216,27.3,22.51,24,gps,,,,,,,,10,
2020-08-09T16:05:02.000Z,56.16406824,37.50119643,179.039306640625,3.216,27.6,22.27,23,gps,,,,,,,,10,
2020-08-09T16:05:03.000Z,56.16423771,37.50136319,179.374267578125,3.216,26.8,21.82,24,gps,,,,,,,,10,
2020-08-09T16:05:04.000Z,56.1644078,37.50152253,179.696533203125,3.216,26.7,21.46,25,gps,,,,,,,,10,
2020-08-09T16:05:05.000Z,56.1645737,37.50167336,180.137939453125,3.216,25.4,21.01,26,gps,,,,,,,,10,
2020-08-09T16:05:06.000Z,56.1647392,37.5018274,179.783203125,3.216,26.7,20.71,25,gps,,,,,,,,10,
2020-08-09T16:05:07.000Z,56.16490411,37.50197854,179.83929443359375,3.216,24.5,20.44,25,gps,,,,,,,,10,
2020-08-09T16:05:08.000Z,56.1650661,37.50213076,179.84796142578125,3.216,28.6,20.38,26,gps,,,,,,,,10,
2020-08-09T16:05:09.000Z,56.16522959,37.50228363,180.2396240234375,3.216,28.5,20.39,26,gps,,,,,,,,10,
2020-08-09T16:05:10.000Z,56.16539172,37.50244177,180.44964599609375,3.216,27.9,20.5,26,gps,,,,,,,,10,
2020-08-09T16:05:11.000Z,56.16554805,37.50259937,180.8037109375,3.216,28.3,20.55,25,gps,,,,,,,,10,
2020-08-09T16:05:12.000Z,56.16570805,37.50276406,180.760498046875,3.216,28.1,20.63,25,gps,,,,,,,,10,
2020-08-09T16:05:13.000Z,56.16587318,37.50292537,181.3363037109375,3.216,32.1,20.92,26,gps,,,,,,,,10,
2020-08-09T16:05:14.000Z,56.16603815,37.50308231,181.4698486328125,3.216,29.6,21.06,25,gps,,,,,,,,10,
2020-08-09T16:05:15.000Z,56.16620501,37.50324556,181.643310546875,3.216,28.9,21.16,24,gps,,,,,,,,10,
2020-08-09T16:05:16.000Z,56.16637583,37.50340963,181.72650146484375,3.216,29.8,21.33,24,gps,,,,,,,,10,
2020-08-09T16:05:17.000Z,56.16654657,37.50357123,181.82257080078125,3.216,29.8,21.36,24,gps,,,,,,,,10,
2020-08-09T16:05:18.000Z,56.16671945,37.50373235,181.608642578125,3.216,29.7,21.37,24,gps,,,,,,,,10,
2020-08-09T16:05:19.000Z,56.16689002,37.50389185,181.609130859375,3.216,29.6,21.21,25,gps,,,,,,,,10,
2020-08-09T16:05:20.000Z,56.16706094,37.50404973,182.01422119140625,3.216,32.1,21.19,25,gps,,,,,,,,10,
2020-08-09T16:05:21.000Z,56.16723587,37.50421324,181.3668212890625,3.216,31.2,21.3,25,gps,,,,,,,,10,
2020-08-09T16:05:22.000Z,56.16741478,37.50437421,180.09552001953125,3.216,30.2,21.29,23,gps,,,,,,,,10,
2020-08-09T16:05:23.000Z,56.16758576,37.50453444,180.13916015625,3.216,30.4,21.37,24,gps,,,,,,,,10,
2020-08-09T16:05:24.000Z,56.16775659,37.504692,180.2825927734375,3.216,30.5,21.23,24,gps,,,,,,,,10,
2020-08-09T16:05:25.000Z,56.16792899,37.50485553,180.49432373046875,3.216,30.3,21.15,23,gps,,,,,,,,10,
2020-08-09T16:05:26.000Z,56.16809226,37.5050268,181.0816650390625,3.216,30.3,20.99,23,gps,,,,,,,,10,
2020-08-09T16:05:27.000Z,56.16825734,37.50515007,179.6923828125,3.216,29.5,20.47,22,gps,,,,,,,,10,
2020-08-09T16:05:28.000Z,56.16841803,37.50530424,179.59014892578125,3.216,29.3,20.27,22,gps,,,,,,,,10,
2020-08-09T16:05:29.000Z,56.16857163,37.50545444,178.85888671875,3.216,27.1,20.03,24,gps,,,,,,,,10,
2020-08-09T16:05:30.000Z,56.16873335,37.505583,178.35601806640625,3.216,26.4,20.04,24,gps,,,,,,,,10,
2020-08-09T16:05:31.000Z,56.16889668,37.50570125,177.878662109375,3.216,23.8,19.8,25,gps,,,,,,,,10,
2020-08-09T16:05:32.000Z,56.16906893,37.5058088,178.30792236328125,3.216,20.3,19.75,26,gps,,,,,,,,10,
2020-08-09T16:05:33.000Z,56.16922961,37.50588084,176.02313232421875,3.216,16.7,19.76,26,gps,,,,,,,,10,
2020-08-09T16:05:34.000Z,56.1694055,37.50595345,176.2425537109375,3.216,14.0,19.87,26,gps,,,,,,,,10,
2020-08-09T16:05:35.000Z,56.16958359,37.50601366,175.75872802734375,3.216,13.2,19.99,26,gps,,,,,,,,10,
2020-08-09T16:05:36.000Z,56.16976012,37.50608646,175.87518310546875,3.216,13.6,19.99,26,gps,,,,,,,,10,
2020-08-09T16:05:37.000Z,56.16993748,37.50615833,176.13580322265625,3.216,13.4,20.05,26,gps,,,,,,,,10,
2020-08-09T16:05:38.000Z,56.17011478,37.50623011,176.46197509765625,3.216,13.8,19.93,26,gps,,,,,,,,10,
2020-08-09T16:05:39.000Z,56.17028762,37.50629271,176.6773681640625,3.216,13.7,19.71,26,gps,,,,,,,,10,
2020-08-09T16:05:40.000Z,56.17046,37.50635625,178.2113037109375,3.216,15.1,19.8,24,gps,,,,,,,,10,
2020-08-09T16:05:41.000Z,56.17063064,37.50643992,179.3074951171875,3.216,17.5,19.71,25,gps,,,,,,,,10,
2020-08-09T16:05:42.000Z,56.17079605,37.50653636,180.4376220703125,3.216,23.8,19.63,25,gps,,,,,,,,10,
