time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-08-04T21:16:30.000Z,56.17115804,37.50663206,175.66094970703125,9.648001,205.1,13.31,0,gps,,,,,,,,52,
2020-08-04T21:16:31.000Z,56.17104421,37.50654632,180.16754150390625,8.576,203.1,14.43,13,gps,,,,,,,,52,
2020-08-04T21:16:32.000Z,56.17090309,37.50649681,182.7601318359375,5.36,202.3,15.39,14,gps,,,,,,,,52,
2020-08-04T21:16:33.000Z,56.17076456,37.50641154,187.1658935546875,4.288,200.6,16.46,13,gps,,,,,,,,52,
2020-08-04T21:16:34.000Z,56.1706216,37.50632059,185.81475830078125,4.288,198.0,17.3,13,gps,,,,,,,,52,
2020-08-04T21:16:35.000Z,56.17046797,37.50624593,184.281982421875,3.216,195.5,18.4,13,gps,,,,,,,,52,
2020-08-04T21:16:36.000Z,56.1703038,37.50617074,180.66204833984375,3.216,194.1,19.26,14,gps,,,,,,,,52,
2020-08-04T21:16:37.000Z,56.17013418,37.50609531,180.5611572265625,3.216,192.5,20.06,14,gps,,,,,,,,52,
2020-08-04T21:16:38.000Z,56.16993958,37.50602805,179.25067138671875,3.216,192.3,20.66,14,gps,,,,,,,,52,
2020-08-04T21:16:39.000Z,56.16976103,37.50595558,176.959716796875,3.216,192.3,20.88,14,gps,,,,,,,,52,
2020-08-04T21:16:40.000Z,56.16958211,37.50588411,176.04852294921875,3.216,192.5,20.81,14,gps,,,,,,,,52,
2020-08-04T21:16:41.000Z,56.1693979,37.50580973,176.21148681640625,3.216,192.3,20.48,14,gps,,,,,,,,52,
2020-08-04T21:16:42.000Z,56.16922155,37.50574386,177.32989501953125,3.216,192.7,20.29,14,gps,,,,,,,,52,
2020-08-04T21:16:43.000Z,56.16905163,37.50565128,177.32763671875,3.216,198.0,20.26,14,gps,,,,,,,,52,
2020-08-04T21:16:44.000Z,56.16887426,37.50554309,176.53765869140625,3.216,203.5,19.97,15,gps,,,,,,,,52,
2020-08-04T21:16:45.000Z,56.16871074,37.50541275,176.69415283203125,3.216,206.3,20.21,15,gps,,,,,,,,52,
2020-08-04T21:16:46.000Z,56.16854579,37.50526818,176.7086181640625,3.216,208.2,20.53,15,gps,,,,,,,,52,
2020-08-04T21:16:47.000Z,56.16838006,37.50512287,176.5650634765625,3.216,206.9,20.83,15,gps,,,,,,,,52,
2020-08-04T21:16:48.000Z,56.16821168,37.50497148,176.584716796875,3.216,206.5,21.13,15,gps,,,,,,,,52,
2020-08-04T21:16:49.000Z,56.16804317,37.50481271,176.76123046875,3.216,209.0,21.37,18,gps,,,,,,,,52,
2020-08-04T21:16:50.000Z,56.16787069,37.50465702,176.73504638671875,3.216,207.5,21.59,18,gps,,,,,,,,52,
2020-08-04T21:16:51.000Z,56.1676965,37.50449681,177.1141357421875,3.216,206.8,21.97,17,gps,,,,,,,,52,
2020-08-04T21:16:52.000Z,56.16752317,37.50433452,177.2376708984375,3.216,206.4,21.89,16,gps,,,,,,,,52,
2020-08-04T21:16:53.000Z,56.16734915,37.50418211,178.08251953125,3.216,206.4,21.68,16,gps,,,,,,,,52,
2020-08-04T21:16:54.000Z,56.1671806,37.5040298,178.08734130859375,3.216,206.9,21.33,17,gps,,,,,,,,52,
2020-08-04T21:16:55.000Z,56.16701701,37.50387171,178.2728271484375,3.216,206.6,20.8,18,gps,,,,,,,,52,
2020-08-04T21:16:56.000Z,56.16685592,37.50371623,178.484130859375,3.216,206.9,20.48,18,gps,,,,,,,,52,
2020-08-04T21:16:57.000Z,56.16669476,37.5035631,178.3822021484375,3.216,206.8,20.51,19,gps,,,,,,,,51,
2020-08-04T21:16:58.000Z,56.16653353,37.50341332,177.9578857421875,3.216,207.2,20.4,19,gps,,,,,,,,51,
2020-08-04T21:16:59.000Z,56.1663729,37.5032618,177.652099609375,3.216,207.1,20.33,20,gps,,,,,,,,51,
2020-08-04T21:17:00.000Z,56.1662122,37.50311183,177.400146484375,3.216,207.4,20.15,20,gps,,,,,,,,51,
2020-08-04T21:17:01.000Z,56.16605368,37.50295737,177.29339599609375,3.216,207.8,20.0,20,gps,,,,,,,,51,
2020-08-04T21:17:02.000Z,56.16589738,37.50280466,177.86041259765625,3.216,208.1,19.77,20,gps,,,,,,,,51,
2020-08-04T21:17:03.000Z,56.16574213,37.50265578,177.8082275390625,3.216,207.5,19.68,20,gps,,,,,,,,51,
2020-08-04T21:17:04.000Z,56.16558507,37.50250527,177.9425048828125,3.216,207.8,19.62,20,gps,,,,,,,,51,
2020-08-04T21:17:05.000Z,56.16543055,37.50235635,177.7899169921875,3.216,207.3,19.35,20,gps,,,,,,,,51,
2020-08-04T21:17:06.000Z,56.16527877,37.50220932,178.32196044921875,3.216,207.5,19.06,20,gps,,,,,,,,51,
2020-08-04T21:17:07.000Z,56.16512995,37.50207326,177.80029296875,3.216,207.7,18.8,20,gps,,,,,,,,51,
2020-08-04T21:17:08.000Z,56.16497822,37.50193168,177.725830078125,3.216,208.0,18.63,19,gps,,,,,,,,51,
2020-08-04T21:17:09.000Z,56.16483084,37.50179342,176.9053955078125,3.216,207.5,18.5,19,gps,,,,,,,,51,
2020-08-04T21:17:10.000Z,56.16468496,37.50165187,176.77447509765625,3.216,204.5,18.19,19,gps,,,,,,,,51,
2020-08-04T21:17:11.000Z,56.16453871,37.50151247,175.7833251953125,3.216,205.2,18.1,20,gps,,,,,,,,51,
2020-08-04T21:17:12.000Z,56.16439351,37.50137013,175.1175537109375,3.216,203.7,18.22,20,gps,,,,,,,,51,
2020-08-04T21:17:13.000Z,56.16424572,37.50122113,174.11444091796875,3.216,204.8,18.53,20,gps,,,,,,,,51,
