time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-07-23T21:38:15.000Z,56.35515352,37.5029396,155.00299072265625,5.36,113.8,7.76,0,gps,,,,,,,,52,
2020-07-23T21:38:16.000Z,56.35509994,37.503143,149.79193115234375,3.216,110.7,13.36,19,gps,,,,,,,,52,
2020-07-23T21:38:17.000Z,56.35506837,37.50335803,151.7784423828125,3.216,110.6,13.64,17,gps,,,,,,,,52,
2020-07-23T21:38:18.000Z,56.35504383,37.50356592,153.63470458984375,3.216,110.2,13.75,18,gps,,,,,,,,52,
2020-07-23T21:38:19.000Z,56.35499661,37.50377509,153.4969482421875,3.216,110.4,13.76,17,gps,,,,,,,,52,
2020-07-23T21:38:20.000Z,56.35495527,37.50396147,152.3106689453125,3.216,111.3,13.27,17,gps,,,,,,,,52,
2020-07-23T21:38:21.000Z,56.35490077,37.50416123,152.396728515625,3.216,112.2,13.15,18,gps,,,,,,,,52,
2020-07-23T21:38:22.000Z,56.3548598,37.50437214,153.277587890625,3.216,110.9,13.4,18,gps,,,,,,,,52,
2020-07-23T21:38:23.000Z,56.35481398,37.50457932,153.81201171875,3.216,110.4,13.71,18,gps,,,,,,,,52,
2020-07-23T21:38:24.000Z,56.35476839,37.50478911,154.148193359375,3.216,110.3,14.13,18,gps,,,,,,,,52,
2020-07-23T21:38:25.000Z,56.35472854,37.505012,154.9503173828125,3.216,110.8,14.67,18,gps,,,,,,,,52,
2020-07-23T21:38:26.000Z,56.35467889,37.50523959,154.89837646484375,3.216,110.2,15.06,17,gps,,,,,,,,52,
2020-07-23T21:38:27.000Z,56.35462949,37.50547449,154.5260009765625,3.216,108.6,15.41,17,gps,,,,,,,,52,
2020-07-23T21:38:28.000Z,56.35457791,37.50571829,155.17718505859375,3.216,109.7,15.72,18,gps,,,,,,,,52,
2020-07-23T21:38:29.000Z,56.35453166,37.50596338,156.23114013671875,3.216,110.1,15.92,18,gps,,,,,,,,52,
2020-07-23T21:38:30.000Z,56.35449035,37.50621317,157.83673095703125,3.216,109.3,16.1,18,gps,,,,,,,,52,
2020-07-23T21:38:31.000Z,56.35444322,37.50646006,158.834716796875,3.216,109.4,16.18,18,gps,,,,,,,,52,
2020-07-23T21:38:32.000Z,56.3543932,37.50671043,160.0206298828125,3.216,110.4,16.29,18,gps,,,,,,,,52,
2020-07-23T21:38:33.000Z,56.35433903,37.50696233,160.78997802734375,3.216,111.4,16.5,18,gps,,,,,,,,52,
2020-07-23T21:38:34.000Z,56.35428864,37.50721625,161.41192626953125,3.216,112.1,16.75,17,gps,,,,,,,,52,
2020-07-23T21:38:35.000Z,56.35423546,37.5074755,162.5030517578125,3.216,112.0,16.94,18,gps,,,,,,,,52,
2020-07-23T21:38:36.000Z,56.3541875,37.50773922,163.6220703125,3.216,111.3,16.95,18,gps,,,,,,,,52,
2020-07-23T21:38:37.000Z,56.35413647,37.50800049,164.89410400390625,3.216,110.6,16.99,19,gps,,,,,,,,52,
2020-07-23T21:38:38.000Z,56.35408404,37.5082596,165.83544921875,3.216,109.2,16.99,21,gps,,,,,,,,52,
2020-07-23T21:38:39.000Z,56.35403113,37.50850816,166.19818115234375,3.216,108.7,16.47,21,gps,,,,,,,,52,
2020-07-23T21:38:40.000Z,56.35398485,37.50874621,167.3740234375,3.216,110.1,15.68,21,gps,,,,,,,,52,
2020-07-23T21:38:41.000Z,56.3539417,37.50897844,168.3310546875,3.216,109.1,15.08,23,gps,,,,,,,,52,
2020-07-23T21:38:42.000Z,56.35389684,37.50920006,168.4090576171875,3.216,109.1,14.73,23,gps,,,,,,,,52,
2020-07-23T21:38:43.000Z,56.3538507,37.5094233,169.3271484375,3.216,109.0,14.64,23,gps,,,,,,,,52,
2020-07-23T21:38:44.000Z,56.35380333,37.50964309,169.483642578125,3.216,108.9,14.63,23,gps,,,,,,,,52,
