time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-07-23T17:31:46.621Z,56.37778375,37.526879,144.78900146484375,19.296001,247.1,6.75,0,gps,,,,,,,,32,
2020-07-23T17:31:47.000Z,56.37783441,37.52689078,152.7220458984375,5.36,235.4,7.35,7,gps,,,,,,,,32,
2020-07-23T17:31:49.000Z,56.37775801,37.52666818,153.34710693359375,3.216,238.0,7.59,16,gps,,,,,,,,32,
2020-07-23T17:31:50.000Z,56.37772563,37.52657552,154.0875244140625,3.216,238.4,6.67,18,gps,,,,,,,,32,
2020-07-23T17:31:51.000Z,56.37770368,37.5265034,152.6915283203125,3.216,238.5,5.55,19,gps,,,,,,,,32,
2020-07-23T17:31:52.000Z,56.37768034,37.52644712,152.95037841796875,3.216,236.8,4.7,21,gps,,,,,,,,32,
2020-07-23T17:31:53.000Z,56.3776616,37.52639738,153.7144775390625,3.216,238.9,3.74,21,gps,,,,,,,,32,
2020-07-23T17:31:54.000Z,56.37765499,37.52635775,154.0960693359375,3.216,238.9,2.74,21,gps,,,,,,,,32,
2020-07-23T17:31:55.000Z,56.37764302,37.52633887,153.26287841796875,3.216,238.5,1.84,21,gps,,,,,,,,32,
2020-07-23T17:31:56.000Z,56.37764148,37.52633127,152.158447265625,3.216,244.7,0.98,20,gps,,,,,,,,32,
2020-07-23T17:31:57.000Z,56.37763887,37.52632793,151.55059814453125,3.216,244.6,0.61,20,gps,,,,,,,,32,
2020-07-23T17:31:58.000Z,56.37763399,37.52631827,151.70928955078125,3.216,244.5,0.8,20,gps,,,,,,,,32,
2020-07-23T17:31:59.000Z,56.37761853,37.52629673,151.4189453125,3.216,226.7,1.88,21,gps,,,,,,,,32,
2020-07-23T17:32:00.000Z,56.37759147,37.52626145,152.1971435546875,3.216,217.8,3.41,21,gps,,,,,,,,32,
2020-07-23T17:32:01.000Z,56.37755257,37.52623156,153.0673828125,3.216,197.3,4.61,21,gps,,,,,,,,32,
2020-07-23T17:32:02.000Z,56.3774994,37.5262328,153.275390625,3.216,171.1,5.53,22,gps,,,,,,,,32,
2020-07-23T17:32:03.000Z,56.37743392,37.52626029,153.15704345703125,3.216,163.6,6.65,22,gps,,,,,,,,32,
2020-07-23T17:32:04.000Z,56.37736488,37.52630624,153.67291259765625,3.216,159.5,7.64,21,gps,,,,,,,,32,
2020-07-23T17:32:05.000Z,56.37729202,37.52636287,152.9991455078125,3.216,158.4,8.75,21,gps,,,,,,,,32,
2020-07-23T17:32:06.000Z,56.37721513,37.52641673,152.69482421875,3.216,157.6,9.24,20,gps,,,,,,,,32,
2020-07-23T17:32:07.000Z,56.37712733,37.52647747,152.8394775390625,3.216,156.5,10.01,20,gps,,,,,,,,32,
2020-07-23T17:32:08.000Z,56.37703913,37.52654219,153.297607421875,3.216,156.9,10.78,20,gps,,,,,,,,32,
2020-07-23T17:32:09.000Z,56.37694044,37.52660713,153.65545654296875,3.216,157.1,11.64,20,gps,,,,,,,,32,
2020-07-23T17:32:10.000Z,56.37684047,37.52667819,154.04534912109375,3.216,155.7,12.31,18,gps,,,,,,,,32,
2020-07-23T17:32:11.000Z,56.37673443,37.5267597,154.52484130859375,3.216,155.0,12.76,17,gps,,,,,,,,32,
2020-07-23T17:32:12.000Z,56.37662306,37.5268311,155.0843505859375,3.216,155.0,13.06,17,gps,,,,,,,,32,
2020-07-23T17:32:13.000Z,56.37650928,37.52691126,155.28472900390625,3.216,154.8,13.41,19,gps,,,,,,,,32,
2020-07-23T17:32:14.000Z,56.37638842,37.52699347,155.0723876953125,3.216,155.8,14.4,19,gps,,,,,,,,32,
2020-07-23T17:32:15.000Z,56.37626243,37.52708082,154.57415771484375,3.216,155.6,14.88,20,gps,,,,,,,,32,
2020-07-23T17:32:16.000Z,56.37613554,37.52717322,153.90814208984375,3.216,155.6,15.12,21,gps,,,,,,,,32,
2020-07-23T17:32:17.000Z,56.37600443,37.5272577,154.6690673828125,3.216,156.0,15.53,21,gps,,,,,,,,32,
2020-07-23T17:32:18.000Z,56.37587273,37.52734561,155.04107666015625,3.216,154.8,15.32,21,gps,,,,,,,,32,
2020-07-23T17:32:19.000Z,56.37573948,37.52744254,155.09027099609375,3.216,153.2,15.46,21,gps,,,,,,,,32,
2020-07-23T17:32:20.000Z,56.3756135,37.52753349,155.04229736328125,3.216,151.8,15.23,22,gps,,,,,,,,32,
2020-07-23T17:32:21.000Z,56.37548505,37.52762496,154.8896484375,3.216,153.4,15.44,23,gps,,,,,,,,32,
2020-07-23T17:32:22.000Z,56.37535564,37.5277146,154.6298828125,3.216,148.8,15.44,22,gps,,,,,,,,32,
2020-07-23T17:32:23.000Z,56.37522583,37.52780724,154.30010986328125,3.216,118.9,15.24,22,gps,,,,,,,,32,
2020-07-23T17:32:24.000Z,56.37510014,37.52790226,154.89501953125,3.216,121.8,15.5,22,gps,,,,,,,,32,
2020-07-23T17:32:25.000Z,56.37496587,37.52798451,155.274169921875,3.216,106.8,15.47,22,gps,,,,,,,,32,
2020-07-23T17:32:26.000Z,56.37482905,37.52807034,155.60345458984375,3.216,160.4,16.09,22,gps,,,,,,,,32,
2020-07-23T17:32:27.000Z,56.37470512,37.52816704,155.28955078125,3.216,160.2,15.87,22,gps,,,,,,,,32,
2020-07-23T17:32:28.000Z,56.37457237,37.52825205,154.9315185546875,3.216,163.2,15.69,22,gps,,,,,,,,32,
2020-07-23T17:32:29.000Z,56.37444036,37.52834087,155.0311279296875,3.216,177.2,15.69,22,gps,,,,,,,,32,
2020-07-23T17:32:30.000Z,56.37431029,37.5284349,155.04913330078125,3.216,158.3,15.88,22,gps,,,,,,,,32,
2020-07-23T17:32:31.000Z,56.37418057,37.52852978,154.56298828125,3.216,157.9,15.66,22,gps,,,,,,,,32,
2020-07-23T17:32:32.000Z,56.37404304,37.52862128,154.43218994140625,3.216,158.6,15.82,22,gps,,,,,,,,32,
2020-07-23T17:32:33.000Z,56.37390964,37.52872284,153.906494140625,3.216,158.3,16.07,22,gps,,,,,,,,32,
2020-07-23T17:32:34.000Z,56.373772,37.52881978,154.210205078125,3.216,158.7,16.1,23,gps,,,,,,,,32,
2020-07-23T17:32:35.000Z,56.37363791,37.52891802,153.80780029296875,3.216,158.6,16.07,24,gps,,,,,,,,32,
2020-07-23T17:32:36.000Z,56.37350592,37.52901391,153.48016357421875,3.216,158.4,16.02,25,gps,,,,,,,,32,
2020-07-23T17:32:37.000Z,56.37336993,37.52911031,153.55169677734375,3.216,158.2,16.14,25,gps,,,,,,,,32,
2020-07-23T17:32:38.000Z,56.37323295,37.5292055,154.0001220703125,3.216,158.3,16.31,24,gps,,,,,,,,32,
2020-07-23T17:32:39.000Z,56.37309654,37.52929766,154.3104248046875,3.216,159.2,16.26,23,gps,,,,,,,,32,
2020-07-23T17:32:40.000Z,56.37296242,37.52939082,154.1014404296875,3.216,159.1,16.12,23,gps,,,,,,,,32,
2020-07-23T17:32:41.000Z,56.37281747,37.52948344,154.2318115234375,3.216,159.3,16.6,23,gps,,,,,,,,32,
2020-07-23T17:32:42.000Z,56.37267603,37.52958299,154.19891357421875,3.216,158.9,16.65,22,gps,,,,,,,,32,
2020-07-23T17:32:43.000Z,56.37253851,37.52968413,153.9051513671875,3.216,159.0,16.69,21,gps,,,,,,,,32,
2020-07-23T17:32:44.000Z,56.37240002,37.52978244,153.86187744140625,3.216,159.3,16.61,20,gps,,,,,,,,32,
2020-07-23T17:32:45.000Z,56.37226465,37.52987991,153.7420654296875,3.216,159.4,16.36,21,gps,,,,,,,,32,
2020-07-23T17:32:46.000Z,56.37212124,37.52997489,154.33123779296875,3.216,159.8,16.79,21,gps,,,,,,,,32,
2020-07-23T17:32:47.000Z,56.37198428,37.53006812,154.69500732421875,3.216,160.1,16.62,21,gps,,,,,,,,32,
2020-07-23T17:32:48.000Z,56.37184823,37.53016075,155.15667724609375,3.216,160.2,16.31,20,gps,,,,,,,,32,
2020-07-23T17:32:49.000Z,56.37171874,37.53025984,154.56292724609375,3.216,159.9,15.86,21,gps,,,,,,,,32,
2020-07-23T17:32:50.000Z,56.37158035,37.53035373,154.42529296875,3.216,160.1,16.27,21,gps,,,,,,,,32,
2020-07-23T17:32:51.000Z,56.37144391,37.53045057,154.2110595703125,3.216,160.2,16.56,20,gps,,,,,,,,32,
2020-07-23T17:32:52.000Z,56.37130798,37.53054368,154.14208984375,3.216,160.3,16.33,20,gps,,,,,,,,32,
2020-07-23T17:32:53.000Z,56.37117713,37.53063171,154.42327880859375,3.216,160.4,15.9,23,gps,,,,,,,,32,
2020-07-23T17:32:54.000Z,56.37105398,37.53072085,154.32373046875,3.216,160.2,14.98,23,gps,,,,,,,,32,
2020-07-23T17:32:55.000Z,56.3709311,37.53080794,154.86492919921875,3.216,160.5,14.26,22,gps,,,,,,,,32,
2020-07-23T17:32:56.000Z,56.37081332,37.53088456,155.08758544921875,3.216,161.1,13.78,21,gps,,,,,,,,32,
2020-07-23T17:32:57.000Z,56.37069586,37.53095185,155.61669921875,3.216,162.3,13.74,21,gps,,,,,,,,32,
2020-07-23T17:32:58.000Z,56.37058977,37.53101996,155.4581298828125,3.216,163.7,13.05,22,gps,,,,,,,,32,
2020-07-23T17:32:59.000Z,56.37048052,37.53106471,155.64306640625,3.216,167.8,12.09,23,gps,,,,,,,,32,
2020-07-23T17:33:00.000Z,56.3703785,37.53110155,155.9212646484375,3.216,171.4,11.53,22,gps,,,,,,,,32,
2020-07-23T17:33:01.000Z,56.37028437,37.53113274,155.6846923828125,3.216,175.1,11.06,23,gps,,,,,,,,32,
2020-07-23T17:33:02.000Z,56.37018618,37.53114393,155.87957763671875,3.216,178.0,11.07,23,gps,,,,,,,,32,
2020-07-23T17:33:03.000Z,56.37008895,37.53115542,155.749755859375,3.216,180.1,10.8,22,gps,,,,,,,,32,
2020-07-23T17:33:04.000Z,56.36999164,37.5311582,156.05780029296875,3.216,180.9,10.52,23,gps,,,,,,,,32,
2020-07-23T17:33:05.000Z,56.36990894,37.53115954,156.1121826171875,3.216,182.0,9.84,23,gps,,,,,,,,32,
2020-07-23T17:33:06.000Z,56.36982753,37.53115491,156.2174072265625,3.216,183.1,8.8,23,gps,,,,,,,,32,
2020-07-23T17:33:07.000Z,56.36975818,37.53114974,155.98858642578125,3.216,183.6,7.39,24,gps,,,,,,,,32,
2020-07-23T17:33:08.000Z,56.36969115,37.53114122,156.20916748046875,3.216,183.5,6.74,23,gps,,,,,,,,32,
2020-07-23T17:33:09.000Z,56.36963729,37.53113693,156.051025390625,3.216,183.6,6.15,22,gps,,,,,,,,32,
2020-07-23T17:33:10.000Z,56.36957968,37.53113371,156.07220458984375,3.216,183.5,6.19,22,gps,,,,,,,,32,
